id,name_ru,category,calories_100g,protein_100g,fat_100g,carbs_100g,potassium_mg_100g,magnesium_mg_100g,sodium_mg_100g,iron_mg_100g,vit_c_mg_100g,portion_g,shelf_life_days
food_18,Сухой яичный порошок / меланж,proteins,550,45.0,37.0,4.5,480.0,45.0,500.0,7.0,0.0,30,730
food_19,Пеммикан классический,proteins,650,30.0,55.0,10.0,400.0,35.0,600.0,4.0,5.0,50,1095
food_20,Тушенка говяжья ГОСТ (реторт),proteins,215,15.0,17.0,0.0,220.0,18.0,600.0,2.2,0.0,250,730
food_21,Тунец в собственном соку (пауч),proteins,116,26.0,1.0,0.0,250.0,30.0,350.0,1.3,0.0,90,730
food_22,Сухой соевый гуляш,proteins,310,50.0,1.5,24.0,1800.0,250.0,20.0,9.0,0.0,40,730
food_23,Сублимированный творог,proteins,440,60.0,18.0,8.0,280.0,35.0,150.0,1.0,0.0,40,730
food_24,Сало соленое / шпик,fats,797,2.4,89.0,0.0,15.0,3.0,1500.0,0.2,0.0,45,90
food_25,Масло топленое (Гхи),fats,892,0.3,99.0,0.5,5.0,2.0,10.0,0.1,0.0,25,365
food_26,Масло растительное (нерафинированное),fats,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20,365
food_27,Арахисовая паста без сахара,fats,588,25.0,50.0,20.0,650.0,170.0,400.0,2.1,0.0,35,180
food_28,Кокосовое масло,fats,862,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,20,730
food_29,Грецкий орех,snacks,654,15.2,65.2,13.7,441.0,158.0,2.0,2.9,1.3,35,180
food_30,Миндаль,snacks,579,21.2,49.9,21.6,733.0,270.0,1.0,3.7,0.0,35,365
food_31,Фундук,snacks,628,15.0,60.8,16.7,680.0,163.0,0.0,4.7,6.3,35,365
food_32,Арахис соленый,snacks,585,24.0,49.0,21.0,660.0,168.0,450.0,2.3,0.0,40,180
food_33,Кешью,snacks,553,18.2,43.8,30.2,660.0,292.0,12.0,6.7,0.5,35,180
food_34,Курага (сушеный абрикос),snacks,241,3.4,0.5,62.6,1162.0,32.0,10.0,2.7,1.0,40,365
food_35,Изюм темный,snacks,299,3.1,0.5,79.2,749.0,32.0,11.0,1.9,2.3,40,365
food_36,Финики без косточек,snacks,277,1.8,0.2,75.0,656.0,54.0,1.0,1.0,0.0,45,365
food_37,Банановые чипсы сушеные,snacks,519,2.3,33.6,58.4,536.0,76.0,6.0,1.3,6.0,30,180
food_38,Сушеная клюква / брусника,snacks,308,0.2,1.4,82.4,40.0,3.0,3.0,0.4,0.2,25,365
food_39,Халва подсолнечная,snacks,516,11.6,29.7,54.0,350.0,178.0,65.0,5.0,0.0,50,120
food_40,Козинаки (подсолнечник/кунжут),snacks,510,14.8,34.2,43.0,370.0,150.0,15.0,3.5,0.0,50,150
food_41,Горький шоколад (70%+),snacks,580,7.8,43.0,36.0,715.0,228.0,20.0,11.9,0.0,35,365
food_42,Протеиновый батончик,snacks,380,33.0,12.0,35.0,250.0,80.0,220.0,3.0,15.0,60,365
food_43,Энергетический гель (углеводный),snacks,260,0.0,0.0,65.0,150.0,40.0,450.0,0.0,25.0,40,365
food_44,Фруктовая пастила натуральная,snacks,290,1.5,0.5,72.0,220.0,20.0,15.0,1.8,10.0,30,180
food_45,Галеты армейские / сухари ржаные,snacks,365,11.0,2.0,74.0,280.0,45.0,500.0,3.5,0.0,45,730
food_46,Соль поваренная йодированная,basics,0,0.0,0.0,0.0,0.0,1.0,38758.0,0.3,0.0,10,1095
food_47,Изотоник сухой (порошок),basics,360,0.0,0.0,90.0,1200.0,350.0,2200.0,5.0,250.0,25,730
food_48,Сахар-песок / рафинад,basics,387,0.0,0.0,100.0,2.0,0.0,1.0,0.1,0.0,40,1825
food_49,Молоко сухое цельное (26%),basics,496,26.3,26.7,38.4,1200.0,90.0,370.0,0.6,7.0,25,240
food_50,Чай черный / травяной листовой,basics,1,0.0,0.0,0.3,20.0,3.0,3.0,0.2,0.0,5,730
food_51,Кофе растворимый сублимированный,basics,94,15.0,0.5,7.0,3500.0,390.0,40.0,4.4,0.0,4,730
food_52,Какао-порошок,basics,228,19.6,13.7,57.9,1524.0,499.0,21.0,13.9,0.0,18,730
food_53,Кисель сухой (концентрат),basics,330,0.2,0.0,83.0,30.0,5.0,10.0,0.3,15.0,30,365
food_54,Чеснок сушеный гранулированный,basics,331,16.6,0.7,72.7,1193.0,77.0,60.0,5.7,1.2,3,730
food_55,Смесь походных специй и трав,basics,280,10.5,6.0,46.0,1300.0,160.0,1200.0,18.0,8.0,2,730
food_56,Бульонные кубики / порошок,basics,200,8.0,10.0,20.0,180.0,25.0,16500.0,1.0,0.0,10,730
food_57,Витамин C (шипучий концентрат),basics,180,0.0,0.0,40.0,500.0,100.0,6000.0,0.0,25000.0,4,730
